,,,,,,,,,,,,,,
,Rarity,#,Relic Name,Bonus Type,Value,Unlocked,Unlocked by,,Total Bonuses,Active,,TOTAL,,
,1-Rare,1,No Spoon,Defense Absolute,2.0%,FALSE,Earn 350 medals Matrix event,,Misc.,,,,,Lab Speed
,1-Rare,2,Copper Badge,Damage,3.0%,FALSE,Finish P4 in Copper,,Lab Speed,0.0%,,49.0%,,Bot Range
,1-Rare,3,Silver Badge,Coins,5.0%,FALSE,Finish P4 in Silver,,Bot Range,m,,2m,,Damage
,1-Rare,4,T:I Flux,Coins,2.0%,FALSE,Beat w4500 in T1,,Damage,,,,,Damage
,1-Rare,5,T:II Lumin,Lab Speed,1.5%,FALSE,Beat w4500 in T2,,Damage,0.0%,,61.0%,,Ultimate Damage
,1-Rare,6,T:III Pulse,Crit Factor,2.0%,FALSE,Beat w4500 in T3,,Ultimate Damage,0.0%,,5.0%,,Attack Speed
,1-Rare,7,T:IV Harmonic,Damage,2.0%,FALSE,Beat w4500 in T4,,Attack Speed,0.0%,,2.0%,,Crit Chance
,1-Rare,8,T:V Ether,Health,2.0%,FALSE,Beat w4500 in T5,,Crit Chance,0.0%,,1.0%,,Crit Factor
,1-Rare,9,1st Tower Birthday,Damage,2.0%,FALSE,Play for 1 year,,Crit Factor,0.0%,,70.0%,,Damage / Meter
,1-Rare,10,2nd Tower Birthday,Crit Factor,2.0%,FALSE,Play for 2 year,,Damage / Meter,0.0%,,52.0%,,Super Critical Chance
,1-Rare,11,3rd Tower Birthday,Damage / Meter,2.0%,FALSE,Play for 3 year,,Super Critical Chance,0.0%,,2.0%,,Health
,1-Rare,12,Dreamcatcher,Coins,2.0%,FALSE,Earn 350 medals Howling Wolf event,,Defense,,,,,Health Regen
,1-Rare,13,Bacteriophage,Damage,2.0%,FALSE,Earn 350 medals Viral Outbreak event,,Health,0.0%,,73.0%,,Defense Absolute
,1-Rare,14,Ionized Plasma,Defense Absolute,2.0%,FALSE,Earn 350 medals Plasma Returns event,,Health Regen,0.0%,,2.0%,,Thorns
,1-Rare,15,Ancient Tome,Lab Speed,1.5%,FALSE,Earn 350 medals Sands of Time event,,Defense Absolute,0.0%,,66.0%,,Coins
,1-Rare,16,Tower Latte,Damage / Meter,2.0%,FALSE,Earn 350 medals Autumn event,,Thorns,0.0%,,2.0%,,Free Attack Upgrade
,1-Rare,17,Spooky Bat,Crit Factor,2.0%,FALSE,Earn 350 medals Halloween event,,Utility,,,,,Free Defense Upgrade
,1-Rare,18,Cherry,Defense Absolute,2.0%,FALSE,Earn 350 medals Cherry Blossom event,,Coins,0.0%,,54.0%,,Free Utility Upgrade
,1-Rare,19,Holy Joystick,Damage,2.0%,FALSE,Earn 350 medals Retro Arcade event,,Free Attack Upgrade,0.0%,,1.0%,,
,1-Rare,20,Honey Drop,Damage,2.0%,FALSE,Earn 350 medals Honey event,,Free Defense Upgrade,0.0%,,1.0%,,
,1-Rare,21,Firework,Health,2.0%,FALSE,Earn 350 medals New Year event,,Free Utility Upgrade,0.0%,,0.0%,,
,1-Rare,22,Aurora Vortex,Health,2.0%,FALSE,Earn 350 medals Aurora event,,,,,,,
,1-Rare,23,Dark Sight,Damage / Meter,2.0%,FALSE,Earn 350 medals Dark Strands event,,Relics,Owned,,TOTAL,,
,1-Rare,24,Palm Tree,Lab Speed,2.0%,FALSE,Earn 350 medals Retrowave event,,Event Relics,0,,84,,
,1-Rare,25,Submarine,Crit Factor,2.0%,FALSE,Earn 350 medals Deep Blue Sea event,,Non Event Relics,0,,29,,
,1-Rare,26,Alien Head,Coins,2.0%,FALSE,Earn 350 medals Aliens event,,Total Relics,0,,113,,
,1-Rare,27,Warp Gate,Coins,2.0%,FALSE,Earn 350 medals Faster Than Light event,,,,,,,
,1-Rare,28,Barnacle,Health,2.0%,FALSE,Earn 350 medals Ocean Night event,,,,,,,
,1-Rare,29,Pizza,Damage,2.0%,FALSE,Earn 350 medals Invaders event,,,,,,,
,1-Rare,30,Refraction Array,Coins,2.0%,FALSE,Earn 350 medals Prismatic Lines event,,,,,,,
,1-Rare,31,Hook,Damage / Meter,2.0%,FALSE,Earn 350 medals Sunset Fishing event,,,,,,,
,1-Rare,32,Cobweb,Health,2.0%,FALSE,Earn 350 medals Cobweb event,,,,,,,
,1-Rare,33,Gale Winds,Coins,2.0%,FALSE,Earn 350 medals Eye of the Storm event,,,,,,,
,1-Rare,34,Clip Ons,Crit Factor,2.0%,FALSE,Earn 350 medals Into the Matrix event,,,,,,,
,1-Rare,35,Rain Jacket,Health,2.0%,FALSE,Earn 350 medals Storm event,,,,,,,
,1-Rare,36,Rabies,Lab Speed,2.0%,FALSE,Earn 350 medals Viral Outbreak (II) event,,,,,,,
,1-Rare,37,Comet,Damage,2.0%,FALSE,Earn 350 medals Interstellar event,,,,,,,
,1-Rare,38,Remote Control,Damage / Meter,2.0%,FALSE,Earn 350 medals Tower's Channel event,,,,,,,
,1-Rare,39,Anubis,Coins,2.0%,FALSE,Earn 350 medals Sands of (II) Time event,,,,,,,
,1-Rare,40,Lava Flow,Health,2.0%,FALSE,Earn 350 medals Volcano Event,,,,,,,
,1-Rare,41,Abduction Room,Health,2.0%,FALSE,Earn 350 medals Abduction Event,,,,,,,
,1-Rare,42,Acorn,Damage / Meter,2.0%,FALSE,Earn 350 medals Autumn event,,,,,,,
,1-Rare,43,Cauldron,Lab Speed,2.0%,FALSE,Earn 350 medals Halloween (II) event,,,,,,,
,1-Rare,44,Icicle,Damage,2.0%,FALSE,Earn 350 medals Snowstorm Event,,,,,,,
,1-Rare,45,Koi Fish,Lab Speed,2.0%,FALSE,Earn 350 medals Cherry Blossom (II) event,,,,,,,
,1-Rare,46,Tea Ceremony,Health,2.0%,FALSE,200 medals Purchase Cherry Blossom (II) event,,,,,,,
,1-Rare,47,Lunar Cat Paw,Crit Chance,1.0%,FALSE,Earn 350 medals Meowy Night event,,,,,,,
,1-Rare,48,Confetti Ball,Free Attack Upgrade,1.0%,FALSE,Earn 350 medals New Year (II) event,,,,,,,
,1-Rare,49,Summit Starlight,Lab Speed,2.0%,FALSE,Earn 350 medals Howling Wolf (II) event,,,,,,,
,1-Rare,50,Falling Apple,Free Defense Upgrade,1.0%,FALSE,Earn 350 medals Gravity event,,,,,,,
,1-Rare,51,Power Glove,Damage,2.0%,FALSE,Earn 350 medals Retro Arcade (II) event,,,,,,,
,1-Rare,52,Coral Crown,Health Regen,2.0%,FALSE,Earn 350 medals Deep Blue Sea (II) event,,,,,,,
,2-Epic,1,Red Pill,Health,5.0%,FALSE,Earn 700 medals Matrix event,,,,,,,
,2-Epic,2,Gold Badge,Crit Factor,5.0%,FALSE,Finish P4 in Gold,,,,,,,
,2-Epic,3,Platinum Badge,Lab Speed,4.0%,FALSE,Finish P4 in Platinum,,,,,,,
,2-Epic,4,T: VI Nova,Defense Absolute,5.0%,FALSE,Beat w4500 in T6,,,,,,,
,2-Epic,5,T: VII Aether,Coins,5.0%,FALSE,Beat w4500 in T7,,,,,,,
,2-Epic,6,T: VIII Graviton,Damage / Meter,5.0%,FALSE,Beat w4500 in T8,,,,,,,
,2-Epic,7,T: IX Fusion,Health,5.0%,FALSE,Beat w4500 in T9,,,,,,,
,2-Epic,8,T: X Plasma,Damage / Meter,5.0%,FALSE,Beat w4500 in T10,,,,,,,
,2-Epic,9,Spirit Wolf,Crit Factor,5.0%,FALSE,Earn 700 medals Howling Wolf event,,,,,,,
,2-Epic,10,Neuron,Health,5.0%,FALSE,Earn 700 medals Viral Outbreak event,,,,,,,
,2-Epic,11,Plasma Arc,Lab Speed,4.0%,FALSE,Earn 700 medals Plasma Returns event,,,,,,,
,2-Epic,12,Space Sundial,Damage,5.0%,FALSE,Earn 700 medals Sands of Time event,,,,,,,
,2-Epic,13,Pumpkin,Lab Speed,4.0%,FALSE,Earn 700 medals Autumn event,,,,,,,
,2-Epic,14,Man Skull,Health,5.0%,FALSE,Earn 700 medals Halloween event,,,,,,,
