,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,'Master Sheet',,,,,,,,Curve represent the effective value increase in the next 30 upgrades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Damage,, ↓ Damage Lab PATH  ↓,The Effective Damage Lab Path (0.25.7) (Time focused),,,,,, ↓ Damage UW PATH  ↓,The Effective Damage Path (0.25.7) (Stone focused),,,,,, ↓ Damage Coin PATH  ↓,Put a 1 on Workshop Enhancements Lab to enable WS+,,,,,,,Total Lab Time,,Modules,,,,Farming,,Lab,,,Workshop ($),,,Workshop+,,,Relics,Vault,Total Value,Math Value,Nolab Value,,Cards,,,TRUE,,Increment:,x0.02,x0.02,x0.03,2%,2%,0.1%,x0.02,x0.03,x25,-x1,1%,1%,x1.5,x0.04,x1.5,,LAB PATH UPDATE RUNNING,,,,,,,,,,,,,,,,,,,,,,,eDamage Calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME USAGE VS eDamage GAIN,,,,,,,,,,,,,,,,,,,,,,,LAB PATH UPDATE MATRIX,,,,,,,,,,,,,,,,,,,,,
,,Attack Speed,,,Lab,Level,Duration,EDMG progress / day,EDMG after this upgrade,Running Time,,Lab,Level,Cost,EDMG progress / stone,EDMG after this upgrade,,,,,,,,,,145d 23h  8m+,,Cannon,,1.012,,,,Current,Max,Value,Current,Max,Value,Current,Max,Value,Current,Current,,,,,Name,Level,Value,Active,,,Damage,Attack Speed,Critical Factor,Range,Damage / Meter,Super Crit Chance,Super Crit Multi,Super Tower Bonus,Max Rend Armor Multiplier,Spotlight Missiles,Standard Perks Bonus,Improve Trade-off Perks,Death Wave Damage Amplifier,Shock Multiplier,Missile Amplifier,,Damage,Atk Speed,Crit. F,Range,Damage / Meter,SCrit Chance,SCrit Mult.,S.T. Bonus,Rend A Mult.,SLM,Std Perk,To Perk,Death Wave Damage Amplifier,Shock Multiplier,Missile Amplifier,Damage Mastery,Attack Speed Mastery,Critical Chance Mastery,Range Mastery,Super Tower Mastery,Ultimate Crit Mastery,Demon Mode Mastery,,Constant Name,Constant Value,Damage Mastery,Damage,Standard Perks Bonus,Improve Trade-off Perks,Shock Multiplier,DM Mastery,Base,Critical Chance,UW Crit Chance,Critical Factor,Super Crit Chance,Super Crit Multi,Crit,UW Crit,Rapid Fire,Attack Speed,Range,Damage / Meter,RDPM,Super Tower Bonus,ST UW,Max Rend Armor Multiplier,BulletDmgMulti,Avg Time Boost,SL,DW,CL,SM,SLM,SM Heatup,UWs,eDamage,,Damage,Attack Speed,Critical Factor,Range,Damage / Meter,SCrit Chance,SCrit Mult.,S.T. Bonus,Max Rend Armor Multiplier,Spotlight Missiles,Std Perks,TO Perks,Death Wave Damage Amplifier,Shock Multiplier,Missile Amplifier,Damage Mastery,Attack Speed Mastery,Critical Chance Mastery,Range Mastery,Super Tower Mastery,Ultimate Crit Mastery,Demon Mode Mastery,,Damage,Attack Speed,Critical Factor,Range,Damage / Meter,Super Crit Chance,Super Crit Multi,Super Tower Bonus,Max Rend Armor Multiplier,Spotlight Missiles,Standard Perks Bonus,Improve Trade-off Perks,Death Wave Damage Amplifier,Shock Multiplier,Missile Amplifier,Damage Mastery,Attack Speed Mastery,Critical Chance Mastery,Range Mastery,Super Tower Mastery,Ultimate Crit Mastery,Demon Mode Mastery,,Damage,Attack Speed,Critical Factor,Range,Damage / Meter,Super Crit Chance,Super Crit Multi,Super Tower Bonus,Max Rend Armor Multiplier,Spotlight Missiles,Standard Perks Bonus,Improve Trade-off Perks,Death Wave Damage Amplifier,Shock Multiplier,Missile Amplifier,Damage Mastery,Attack Speed Mastery,Critical Chance Mastery,Range Mastery,Super Tower Mastery,Ultimate Crit Mastery,Demon Mode Mastery
,,Critical Factor,1,,,,,,,x1,,,,,,,,,,,,,,,,Current eDmg/sec,,Substat Compared To:,,Next Tier,,Damage,,0,100,x1.00,2000,6000,521.19 K,0,300,x1.00,0%,0%,8.31 M,"8,307,268.16",,,Damage,Lvl 1,x1.5,TRUE,,lvl 0,x1.00,x0.00,x0.00,x1.00,x1.00,0.0%,x1.00,x1.00,x800,20s,100%,100%,x5.0,x0.10,x1.0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,Damage,,1.00,1.00,100%,100%,x1.00,x1.00,"8,307,268",85%,85%,11.20,10.00%,7.20,15.57,16.96,x1.86,x3.94,x81.93,3.90%,1.80,x1.50,x1.00,x1.00,x354.58,100.00%,1.00,0.58,42.05,0.00,0.00,1.50,4.886E+01,5.275E+10,,1.02,5.38E+10,5.43E+10,,5.32E+10,5.30E+10,5.32E+10,5.35E+10,,,5.33E+10,5.33E+10,5.28E+10,,,,,,,,,,,12342.857143%,12531.024075%,18381.769706%,,4765.860833%,0.327683%,0.747258%,6.979430%,,,14.545455%,0.960640%,0.006379%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,Range,0:00:14,,Critical Factor,lvl 1,0d  0h  0m,18381.769 706%,54.32 B,0d  0h  0m,,CL Damage,lvl 2,5⧌,1.287 074%,57.26 B,5 ⧌,,,,,,,,,52.75 B,,Attack Speed,3.80%,0,,Attack Speed ⚠️,,,99,x1.00,99,99,5.95,0,50,x1.00,0%,,7.44,7.44,7.44,,Attack Speed,Lvl 1,1.25,TRUE,,lvl 1,x1.02,x0.02,x0.03,x1.02,x1.02,0.1%,x1.02,x1.03,x825,19s,101%,101%,x6.5,x0.14,x2.5,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,Base Nonlab Dmg,3.16E+06,1.00,1.00,100%,100%,x1.00,x1.00,"8,307,268",85%,85%,11.54,10.00%,7.20,16.04,17.42,x1.86,x3.94,x81.93,3.90%,1.80,x1.50,x1.00,x1.00,x354.58,100.00%,1.00,0.58,42.05,0.00,0.00,1.50,4.901E+01,5.432E+10,,1.02,5.54E+10,5.59E+10,,5.47E+10,5.45E+10,5.48E+10,5.51E+10,,,5.49E+10,5.49E+10,5.44E+10,,,,,,,,,,,12342.857143%,12531.013387%,651.256843%,,4765.517213%,0.327763%,0.747437%,6.978927%,,,14.545455%,0.960640%,0.006382%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,Damage / Meter,0:00:14,,Attack Speed,lvl 1,0d  0h  0m,12531.013 387%,55.43 B,0d  0h  0m,,CL Damage,lvl 3,11⧌,1.077 918%,64.05 B,16 ⧌,,,,,,,,,,,Critical Chance,2.31%,0%,,Critical Factor,,0,99,x1.00,100,150,x11.20,0,300,x1.00,0%,,x11.20,11.20,11.20,,Berserker,Lvl 1,x8,TRUE,,lvl 2,x1.04,x0.04,x0.06,x1.04,x1.04,0.2%,x1.04,x1.06,x850,18s,102%,102%,x8.0,x0.18,x4.0,,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1.00,1.00,100%,100%,x1.00,x1.00,"8,307,268",85%,85%,11.54,10.00%,7.20,16.04,17.42,x1.86,x4.01,x81.93,3.90%,1.80,x1.50,x1.00,x1.00,x361.79,100.00%,1.00,0.58,42.91,0.00,0.00,1.50,4.999E+01,5.543E+10,,1.02,5.65E+10,5.70E+10,,5.59E+10,5.56E+10,5.59E+10,5.62E+10,,,5.60E+10,5.60E+10,5.55E+10,,,,,,,,,,,12342.857143%,447.259111%,651.256361%,,4765.685637%,0.327763%,0.747440%,6.979174%,,,14.545455%,0.960640%,0.006255%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Super Crit Chance,0:00:14,,Damage,lvl 1,0d  0h  0m,12342.857 143%,56.54 B,0d  0h  0m,,CL Damage,lvl 4,17⧌,1.247 085%,77.63 B,33 ⧌,,,,,,,,,,,Critical Factor,17.76%,0,,Critical Chance,,-,,,79,79,80.00%,,,,0%,0%,85.00%,85%,85%,,Critical Chance,Lvl 1,5%,TRUE,,lvl 3,x1.06,x0.06,x0.09,x1.06,x1.06,0.3%,x1.06,x1.09,x875,17s,103%,103%,x9.5,x0.22,x5.5,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,BulletDmgMulti,,1.00,1.02,100%,100%,x1.00,x1.00,"8,473,414",85%,85%,11.54,10.00%,7.20,16.04,17.42,x1.86,x4.01,x81.93,3.90%,1.80,x1.50,x1.00,x1.00,x361.79,100.00%,1.00,0.58,42.91,0.00,0.00,1.50,4.999E+01,5.654E+10,,1.04,5.77E+10,5.82E+10,,5.70E+10,5.68E+10,5.70E+10,5.74E+10,,,5.71E+10,5.71E+10,5.66E+10,,,,,,,,,,,441.176471%,447.259111%,651.256361%,,4765.685637%,0.327763%,0.747440%,6.979174%,,,14.545455%,0.960640%,0.006255%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,Super Crit Multi,0:00:14,,Damage / Meter,lvl 1,0d  0h  0m,4765.685 637%,56.97 B,0d  0h  0m,,CL Chance,lvl 2,8⧌,1.475 892%,86.8 B,41 ⧌,,,,,,,,,,,Attack Range,0.94%,2,,Range,FALSE,0,80,x1.00,79,79,69.50,Damage at % range :,,25%,-,,81.9 m,81.93,79.93,,Range,Lvl 1,x1.15,TRUE,,lvl 4,x1.08,x0.08,x0.12,x1.08,x1.08,0.4%,x1.08,x1.12,x900,16s,104%,104%,x11.0,x0.26,x7.0,,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,Multishot,x5.76,1.00,1.02,100%,100%,x1.00,x1.00,"8,473,414",85%,85%,11.54,10.00%,7.20,16.04,17.42,x1.86,x4.01,x81.93,3.98%,1.81,x1.50,x1.00,x1.00,x365.01,100.00%,1.00,0.58,42.91,0.00,0.00,1.50,4.999E+01,5.697E+10,,1.04,5.81E+10,5.86E+10,,5.74E+10,5.72E+10,5.75E+10,5.78E+10,,,5.75E+10,5.75E+10,5.70E+10,,,,,,,,,,,441.176471%,447.265076%,651.240676%,,172.417517%,0.327762%,0.747545%,6.987201%,,,14.545455%,0.960640%,0.006207%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,Super Tower Bonus,0:06:24,,Critical Factor,lvl 2,0d  0h  6m,651.240 676%,58.62 B,0d  0h  7m,,CL Damage,lvl 5,23⧌,1.105 342%,108.86 B,64 ⧌,,,,,,,,,,,Damage / Meter,4.95%,0,,Damage / Meter,,0,99,x1.00,100,200,3.90%,0,300,x1.00,0%,0%,3.90%,4%,,,Super Tower,Lvl 1,x2.50,TRUE,,lvl 5,x1.10,x0.10,x0.15,x1.10,x1.10,0.5%,x1.10,x1.15,x925,15s,105%,105%,x12.5,x0.30,x8.5,,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,BS BA,x3.12,1.00,1.02,100%,100%,x1.00,x1.00,"8,473,414",85%,85%,11.87,10.00%,7.20,16.50,17.88,x1.86,x4.01,x81.93,3.98%,1.81,x1.50,x1.00,x1.00,x365.01,100.00%,1.00,0.58,42.91,0.00,0.00,1.50,5.014E+01,5.862E+10,,1.04,5.98E+10,6.03E+10,,5.91E+10,5.88E+10,5.91E+10,5.95E+10,,,5.92E+10,5.92E+10,5.87E+10,,,,,,,,,,,441.176471%,447.264621%,247.171295%,,172.402390%,0.327838%,0.747713%,6.986588%,,,14.545455%,0.960640%,0.006211%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
