,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<<<,,,,<<<,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Curve represent the effective value increase in the next 30 upgrades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ↓ Health Lab PATH  ↓,The Effective Health Lab Path (0.24.5) (Time focused),,,,,, ↓ Health WS+ PATH  ↓,The Effective Health WS+ Path (0.24.5) (100B Coin),,,,,, ↓ Regen PATH  ↓,The Effective Wall Regen Lab Path (0.24.5) (Time focused),,,,,,,Total eHP Lab Time,,Modules,,,,,,Perks,,,TRUE,,Stats/Formulas,,Lab,,,,Workshop ($),,Workshop+,,,Relics,Vault,,LAB PATH UPDATE RUNNING,,,,,,,,,,,,eHP Calculation,,,,,,,,,,eHP SIMULATIONS,,,,,,,,,,,,TIME USAGE VS eHP GAIN,,,,,,,,,,,,LAB PATH UPDATE MATRIX,,,,,,,,,,
,,,1.5,,Lab,Level,Duration,EHP progress / day,EHP after this upgrade,Running Time,,Lab,Level,Coin Cost,RoI / 100B Coins,EHP after this upgrade,,,Lab,Level,Duration,WRegen progress / day,WRegen after this upgrade,,,1y 152d 16h  9m+,,,,,,,,Name,Quantity,Value,Active,,,,Current,Target,Max,Value,Current,Value,Current,Max,Value,,,,Health,Defense %,Defense Absolute,Wall Health,Wall Fortification,Recovery Package Max,Standard Perks Bonus,Improve Trade-Off Perks,Chrono Field Reduction %,Death Wave Health,Chain Thunder,,Health,Defense %,Defense Absolute,Wall Fortification,Recovery Package Max,Chrono Field Reduction %,Death Wave Health,Chain Thunder,eHP,,Health,Defense %,Defense Absolute,Wall Health,Wall Fortification,Recovery Package Max,Standard Perks Bonus,Improve Trade-Off Perks,Chrono Field Reduction %,Death Wave Health,Chain Thunder,,Health,Defense %,Defense Absolute,Wall Health,Wall Fortification,Recovery Package Max,Standard Perks Bonus,Improve Trade-Off Perks,Chrono Field Reduction %,Death Wave Health,Chain Thunder,,Health,Defense %,Defense Absolute,Wall Health,Wall Fortification,Recovery Package Max,Standard Perks Bonus,Improve Trade-Off Perks,Chrono Field Reduction %,Death Wave Health,Chain Thunder
,,,,,,,,,,x1.5,,,,,,,,,,,,,,x1,,Current eHP,,Armor,x1.012,,,,,Health,5,x2.00,TRUE,,,Health,0,,100,x1.00,2000,7.54E+07,0,300,x1.00,0%,-,,0,0,0,0,0,0,0,0,0,0,0,,2.75E+07,x4,1.41E+06,,,x1.000,500%,x1.000,1.133E+09,,1.167E+09,1.143E+09,1.134E+09,,,,1.154E+09,1.145E+09,,1.189E+09,,,18326.324844%,19.758575%,187.960870%,,,,26.636738%,0.970344%,,5.939169%,,,1,,,,,,,,,,
,,,0:00:09,,Health,lvl 1,0d  0h  0m,27489.487 267%,1.17 B,0d  0h  0m,,,,,,,,,Health Regen,lvl 1,0d  0h  0m,18514.285 714%,4.1 M,0d  0h  0m,,1.13 B,,Defense %,1%,,,,,Health Regen,5,x4.75,TRUE,,,Health Regen,0,,100,x1.00,1500,7.48E+06,0,300,x1.00,0%,0%,,1,0,0,0,0,0,0,0,0,0,0,,2.83E+07,x4,1.41E+06,,,x1.000,500%,x1.000,1.167E+09,,1.201E+09,1.177E+09,1.167E+09,,,,1.188E+09,1.179E+09,,1.225E+09,,,648.878531%,19.758575%,182.540258%,,,,26.636738%,0.970344%,,5.940926%,,,1,,,,,,,,,,
,,,0:04:16,,Health,lvl 2,0d  0h  4m,973.317 796%,1.2 B,0d  0h  4m,,,,,,,,,Health Regen,lvl 2,0d  0h  6m,655.339 806%,4.22 M,0d  0h  6m,,,,Defense Absolute,15%,,,,,Extra Defense,5,20%,TRUE,,,Defense %,0,,50,0.00%,99,49.50%,-,,,-,-,,2,0,0,0,0,0,0,0,0,0,0,,2.91E+07,x4,1.41E+06,,,x1.000,500%,x1.000,1.201E+09,,1.234E+09,1.210E+09,1.201E+09,,,,1.223E+09,1.213E+09,,1.260E+09,,,246.122939%,19.758575%,177.423532%,,,,26.636738%,0.970344%,,5.942584%,,,1,,,,,,,,,,
,,,0:10:56,,Health,lvl 3,0d  0h 10m,369.184 409%,1.23 B,0d  0h 15m,,,,,,,,,Health Regen,lvl 3,0d  0h 16m,248.504 372%,4.34 M,0d  0h 23m,,Total Wall Regen Lab Time,,Wall Health,0%,,,,,Absolute Defense,5,x1.75,TRUE,,,Defense Absolute,0,,100,x1.00,1000,5.39E+05,0,300,x1.00,0%,0%,,3,0,0,0,0,0,0,0,0,0,0,,3.00E+07,x4,1.41E+06,,,x1.000,500%,x1.000,1.234E+09,,1.268E+09,1.244E+09,1.235E+09,,,,1.257E+09,1.247E+09,,1.295E+09,,,124.514517%,19.758575%,172.585836%,,,,26.636738%,0.970344%,,5.944152%,,,,,1,,,,,,,,
,,,0:00:09,,Defense Absolute,lvl 1,0d  0h  0m,258.878 754%,1.23 B,0d  0h 15m,,,,,,,,,Health Regen,lvl 4,0d  0h 31m,125.686 134%,4.46 M,0d  0h 54m,,,,Health Regen,0%,,,,,E. Dmg -50% / Dmg -50%,,-50%,TRUE,,,Wall Health,0,,50,0.00%,200,40.00%,0,300,x1.00,-,-,,3,0,1,0,0,0,0,0,0,0,0,,3.00E+07,x4,1.45E+06,,,x1.000,500%,x1.000,1.235E+09,,1.268E+09,1.245E+09,1.235E+09,,,,1.257E+09,1.247E+09,,1.296E+09,,,124.479706%,19.758575%,6.290433%,,,,26.636738%,0.970344%,,5.942490%,,,1,,,,,,,,,,
,,,0:21:01,,Health,lvl 4,0d  0h 21m,186.719 559%,1.27 B,0d  0h 36m,,,,,,,,,Health Regen,lvl 5,0d  0h 52m,73.121 192%,4.57 M,0d  1h 47m,,6y 175d  2h  3m+,,,,,,,,E. HP -50% / Rgn & Lifesteal -90%,,-50%,TRUE,,,Wall Fortification,0,,60,x0.0,,,,,,,,,4,0,1,0,0,0,0,0,0,0,0,,3.08E+07,x4,1.45E+06,,,x1.000,500%,x1.000,1.268E+09,,1.302E+09,1.279E+09,1.269E+09,,,,1.291E+09,1.281E+09,,1.331E+09,,,72.437945%,19.758575%,6.123513%,,,,26.636738%,0.970344%,,5.944018%,,,1,,,,,,,,,,
